City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,Baiao,-2.7906,-49.6717,78.15,91,63,2.84,BR,2022-06-22 20:05:24
241,Hay River,60.8156,-115.7999,56.61,61,66,13.13,CA,2022-06-22 20:05:25
242,Cururupu,-1.8283,-44.8683,78.3,86,86,4.94,BR,2022-06-22 20:05:25
243,Westport,41.1415,-73.3579,64.27,94,100,6.91,US,2022-06-22 20:05:25
244,Ahipara,-35.1667,173.1667,47.62,74,1,4.76,NZ,2022-06-22 20:05:26
245,Shuiji,27.4214,118.345,73.78,96,59,1.92,CN,2022-06-22 20:05:26
246,Barabai,-2.5833,115.3833,72.55,97,100,1.32,ID,2022-06-22 20:05:26
247,Sioux Lookout,50.1001,-91.917,75.38,30,14,10.69,CA,2022-06-22 20:05:27
248,Pisco,-13.7,-76.2167,61.02,88,100,8.05,PE,2022-06-22 20:05:27
249,Shimoda,34.6667,138.95,71.1,95,87,8.39,JP,2022-06-22 20:05:27
250,Pasni,25.2631,63.471,82.94,83,48,8.01,PK,2022-06-22 20:05:28
251,Williamsburg,37.2707,-76.7075,95.05,61,0,6.91,US,2022-06-22 20:05:28
252,Praya,14.9215,-23.5087,77.54,88,40,14.97,CV,2022-06-22 20:05:28
253,Ongandjera,-17.8833,15.0667,57.09,23,0,4.07,NA,2022-06-22 20:05:29
254,Mbanza-Ngungu,-5.25,14.8667,69.71,70,55,3.53,CD,2022-06-22 20:05:29
255,Sovetsk,55.0839,21.8785,54.14,86,81,4.88,RU,2022-06-22 20:05:29
256,Nanortalik,60.1432,-45.2371,41.63,75,1,18.88,GL,2022-06-22 20:05:30
257,Igarka,67.4667,86.5833,66.47,49,0,6.8,RU,2022-06-22 20:05:30
258,Barra,-11.0894,-43.1417,84.85,34,57,6.87,BR,2022-06-22 20:05:30
259,Pangkalanbuun,-2.6833,111.6167,74.26,98,99,1.99,ID,2022-06-22 20:05:31
260,Henties Bay,-22.116,14.2845,56.07,85,0,10.18,NA,2022-06-22 20:05:31
261,Makakilo City,21.3469,-158.0858,80.92,59,40,12.66,US,2022-06-22 20:05:31
262,Bo Rai,12.5728,102.5371,80.76,96,99,0.43,TH,2022-06-22 20:05:32
263,Burglengenfeld,49.2056,12.0414,68.56,94,20,3.44,DE,2022-06-22 20:05:32
264,Longyearbyen,78.2186,15.6401,44.44,65,75,17.27,SJ,2022-06-22 20:01:31
265,Northam,51.0333,-4.2167,67.39,61,0,6.08,GB,2022-06-22 20:05:33
266,Baculin,7.4525,126.5842,77.36,84,64,2.57,PH,2022-06-22 20:05:33
267,San Policarpo,12.1791,125.5072,81.05,80,100,5.95,PH,2022-06-22 20:05:33
268,Dingle,10.9995,122.6711,76.75,87,100,4.47,PH,2022-06-22 20:05:34
269,Longonjo,-12.9067,15.2533,57.52,43,0,1.05,AO,2022-06-22 20:05:34
270,Nara,34.6851,135.8049,76.5,77,2,1.23,JP,2022-06-22 20:02:03
271,Zhezkazgan,47.8043,67.7144,76.14,39,5,8.52,KZ,2022-06-22 20:05:34
272,Narsaq,60.9167,-46.05,57.42,50,0,2.26,GL,2022-06-22 20:05:35
273,Sur,22.5667,59.5289,86.72,69,2,20.49,OM,2022-06-22 20:05:35
274,Evensk,61.95,159.2333,44.55,94,100,8.14,RU,2022-06-22 20:05:36
275,Sibolga,1.7427,98.7792,76.28,88,100,3.02,ID,2022-06-22 20:06:36
276,Roma,43.2128,-75.4557,79.66,71,100,14.97,US,2022-06-22 20:06:36
277,Kieta,-6.2167,155.6333,77.4,85,100,2.84,PG,2022-06-22 20:06:37
278,Lebu,-37.6167,-73.65,48.58,89,100,6.51,CL,2022-06-22 20:06:37
279,Jingdezhen,29.2947,117.2079,72.97,94,69,2.39,CN,2022-06-22 20:06:37
280,Petit Goave,18.4314,-72.8669,84.43,67,88,5.21,HT,2022-06-22 20:06:38
281,Kahului,20.8947,-156.47,84.22,66,40,19.57,US,2022-06-22 20:06:38
282,Gravdal,68.1214,13.5031,48.09,81,75,13.8,NO,2022-06-22 20:06:38
283,Ponta Do Sol,32.6667,-17.1,70.0,69,45,8.72,PT,2022-06-22 20:06:39
284,Dwarka,22.2394,68.9678,85.23,77,79,14.38,IN,2022-06-22 20:06:39
285,Mount Gambier,-37.8333,140.7667,53.51,100,100,10.36,AU,2022-06-22 20:06:39
286,Te Anau,-45.4167,167.7167,30.31,87,96,1.07,NZ,2022-06-22 20:06:40
287,Helong,42.5397,128.9972,64.18,97,100,3.94,CN,2022-06-22 20:06:40
288,Labuhan,-6.8844,112.2051,77.07,82,97,7.34,ID,2022-06-22 20:06:40
289,Tocopilla,-22.092,-70.1979,63.07,57,7,4.9,CL,2022-06-22 20:03:24
290,Maniwaki,46.3834,-75.966,77.49,83,93,7.76,CA,2022-06-22 20:04:46
291,Kampot,10.6167,104.1833,79.72,84,100,4.09,KH,2022-06-22 20:06:41
292,Rodrigues Alves,-7.738,-72.6509,81.3,70,94,0.72,BR,2022-06-22 20:06:41
293,Magadan,59.5667,150.8,43.54,98,100,5.3,RU,2022-06-22 20:01:47
