City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Waipawa,NZ,2022-06-23 13:16:37,-41.4122,175.5153,38.86,84,8,5.17,clear sky
247,Fairbanks,US,2022-06-23 13:16:38,64.8378,-147.7164,60.8,71,100,9.22,smoke
248,Bol,TD,2022-06-23 13:16:38,13.4586,14.7147,82.33,68,4,14.94,clear sky
249,San Andres,CO,2022-06-23 13:14:13,12.5847,-81.7006,77.02,100,100,13.8,overcast clouds
250,Taoudenni,ML,2022-06-23 13:16:39,22.6783,-3.9836,113.07,9,6,9.44,clear sky
251,Leningradskiy,RU,2022-06-23 13:16:39,69.3833,178.4167,50.36,56,18,9.33,few clouds
252,Qaqortoq,GL,2022-06-23 13:16:40,60.7167,-46.0333,49.21,42,100,6.15,overcast clouds
253,Severo-Kurilsk,RU,2022-06-23 13:16:40,50.6789,156.125,46.0,96,75,15.35,broken clouds
254,Azul,AR,2022-06-23 13:16:40,-36.777,-59.8585,38.34,62,100,4.59,overcast clouds
255,Churachandpur,IN,2022-06-23 13:16:41,24.3333,93.6667,69.39,97,96,2.59,overcast clouds
256,Port Alfred,ZA,2022-06-23 13:14:35,-33.5906,26.891,69.13,52,100,12.84,overcast clouds
257,Haverfordwest,GB,2022-06-23 13:16:42,51.8017,-4.9691,67.59,68,10,4.97,clear sky
258,Caravelas,BR,2022-06-23 13:16:42,-17.7125,-39.2481,78.78,69,78,2.39,broken clouds
259,Portobelo,PA,2022-06-23 13:16:42,9.55,-79.65,81.1,84,99,5.99,overcast clouds
260,Padang,ID,2022-06-23 13:16:43,-0.9492,100.3543,75.25,90,100,3.06,light rain
